Odczyt z enkodera: [4.0, 85.0, 33.0] , Moc: -39.40 , FI akt: 33.0 , FI pop: 41.0 , FI poppop: 55.0 , różnica czasu: 0.1280000000000001
Odczyt z enkodera: [4.0, 85.0, 30.0] , Moc: -23.33 , FI akt: 30.0 , FI pop: 33.0 , FI poppop: 41.0 , różnica czasu: 0.08399999999999963
Odczyt z enkodera: [4.0, 85.0, 28.0] , Moc: -13.65 , FI akt: 28.0 , FI pop: 30.0 , FI poppop: 33.0 , różnica czasu: 0.09000000000000341
Odczyt z enkodera: [4.0, 85.0, 28.0] , Moc: 0.00 , FI akt: 28.0 , FI pop: 28.0 , FI poppop: 30.0 , różnica czasu: 0.1059999999999981
Odczyt z enkodera: [4.0, 85.0, 28.0] , Moc: 0.00 , FI akt: 28.0 , FI pop: 28.0 , FI poppop: 28.0 , różnica czasu: 0.0940000000000012
Odczyt z enkodera: [4.0, 85.0, 32.0] , Moc: 25.58 , FI akt: 32.0 , FI pop: 28.0 , FI poppop: 28.0 , różnica czasu: 0.0990000000000002
Odczyt z enkodera: [4.0, 85.0, 108.0] , Moc: 752.52 , FI akt: 108.0 , FI pop: 32.0 , FI poppop: 28.0 , różnica czasu: 0.10500000000000043
Odczyt z enkodera: [4.0, 85.0, 122.0] , Moc: 27.23 , FI akt: 122.0 , FI pop: 108.0 , FI poppop: 32.0 , różnica czasu: 0.09999999999999787
Odczyt z enkodera: [4.0, 85.0, 82.0] , Moc: -112.67 , FI akt: 82.0 , FI pop: 122.0 , FI poppop: 108.0 , różnica czasu: 0.10999999999999943
Odczyt z enkodera: [4.0, 85.0, 87.0] , Moc: 58.72 , FI akt: 87.0 , FI pop: 82.0 , FI poppop: 122.0 , różnica czasu: 0.08600000000000207
Odczyt z enkodera: [4.0, 85.0, 82.0] , Moc: -26.58 , FI akt: 82.0 , FI pop: 87.0 , FI poppop: 82.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 79.0] , Moc: -18.78 , FI akt: 79.0 , FI pop: 82.0 , FI poppop: 87.0 , różnica czasu: 0.0990000000000002
Odczyt z enkodera: [4.0, 85.0, 78.0] , Moc: -5.51 , FI akt: 78.0 , FI pop: 79.0 , FI poppop: 82.0 , różnica czasu: 0.11199999999999832
Odczyt z enkodera: [4.0, 85.0, 73.0] , Moc: -31.85 , FI akt: 73.0 , FI pop: 78.0 , FI poppop: 79.0 , różnica czasu: 0.08999999999999986
Odczyt z enkodera: [4.0, 85.0, 71.0] , Moc: -11.89 , FI akt: 71.0 , FI pop: 73.0 , FI poppop: 78.0 , różnica czasu: 0.10500000000000043
Odczyt z enkodera: [4.0, 85.0, 68.0] , Moc: -19.10 , FI akt: 68.0 , FI pop: 71.0 , FI poppop: 73.0 , różnica czasu: 0.0940000000000012
Odczyt z enkodera: [4.0, 85.0, 62.0] , Moc: -34.53 , FI akt: 62.0 , FI pop: 68.0 , FI poppop: 71.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 52.0] , Moc: -57.96 , FI akt: 52.0 , FI pop: 62.0 , FI poppop: 68.0 , różnica czasu: 0.09999999999999787
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: -29.38 , FI akt: 47.0 , FI pop: 52.0 , FI poppop: 62.0 , różnica czasu: 0.10800000000000054
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 52.0 , różnica czasu: 0.09199999999999875
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.09800000000000253
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.1109999999999971
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.10700000000000287
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.09799999999999898
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.08899999999999864
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.1039999999999992
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.11100000000000065
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.08699999999999974
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.10999999999999943
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.10400000000000276
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.09600000000000009
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.10899999999999821
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.07900000000000063
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.10200000000000031
Odczyt z enkodera: [4.0, 85.0, 47.0] , Moc: 0.00 , FI akt: 47.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.09999999999999787
Odczyt z enkodera: [4.0, 85.0, 48.0] , Moc: 5.66 , FI akt: 48.0 , FI pop: 47.0 , FI poppop: 47.0 , różnica czasu: 0.10800000000000054
